,Variation %,Date,Dernier,Ouv., Plus Haut,Plus Bas,Vol.
111,"0,34%",12/07/2023,487.23,"485,60","487,23","484,60",
112,"-0,38%",13/07/2023,485.37,"487,23","487,88","484,15",
113,"0,09%",14/07/2023,485.83,"485,37","486,01","477,79",
114,"0,04%",17/07/2023,486.04,"485,83","488,26","485,45",
115,"-0,15%",18/07/2023,485.3,"486,04","487,04","484,80",
116,"0,17%",19/07/2023,486.13,"485,30","486,62","481,91",
117,"0,94%",20/07/2023,490.68,"485,99","490,68","480,87",
118,"0,59%",21/07/2023,493.57,"490,68","497,99","487,44",
119,"-0,34%",24/07/2023,491.91,"493,57","493,57","487,71",
120,"0,82%",25/07/2023,495.92,"491,91","495,92","490,72",
121,"0,45%",26/07/2023,498.15,"495,92","498,15","494,69",
122,"0,92%",27/07/2023,502.74,"498,15","502,79","496,92",
123,"0,47%",28/07/2023,505.11,"502,74","505,11","497,66",
124,"-0,04%",31/07/2023,504.91,"505,11","505,11","499,18",
125,"-0,81%",01/08/2023,500.82,"504,91","505,23","499,61",
126,"-0,10%",02/08/2023,500.32,"500,82","503,57","497,68",
127,"-1,45%",03/08/2023,493.08,"500,32","500,32","493,08",
128,"0,27%",04/08/2023,494.42,"493,08","496,20","488,14",
129,"-0,59%",08/08/2023,491.52,"494,42","496,49","489,33",
130,"0,84%",09/08/2023,495.63,"491,52","495,63","486,81",
131,"0,38%",10/08/2023,497.5,"495,63","497,90","490,58",
132,"-0,46%",11/08/2023,495.23,"497,50","497,54","490,09",
133,"0,20%",14/08/2023,496.24,"495,23","497,67","492,21",
134,"0,53%",16/08/2023,498.88,"496,24","498,97","495,42",
135,"0,07%",17/08/2023,499.23,"499,90","501,98","496,35",
136,"1,36%",18/08/2023,506.01,"499,23","506,01","498,08",
137,"0,40%",21/08/2023,508.05,"506,01","508,05","499,88",
138,"-0,91%",22/08/2023,503.41,"508,05","508,76","498,03",
139,"0,16%",23/08/2023,504.22,"503,41","505,29","498,04",
