
Indicator,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Average annual population growth rate - Urban (%),3.7,3.7,3.7,3.7,3.7,3.6,3.6,3.6,,
Life expectancy at birth - Female (years),60.1,60.3,60.6,60.8,61.0,61.2,61.4,,,
Life expectancy at birth - Male (years),57.4,57.6,57.8,57.9,58.1,58.3,58.5,,,
Life expectancy at birth - Total (years),58.8,59.0,59.2,59.4,59.6,60.6,60.9,61.2,,
Population - Female (%),50.7,50.7,50.6,,,,,,,
Population - Female (thousands),,,,,,,,,,
Population - Male (thousands),"4,569",,,,,"5,270",,,,
Population - Total (thousands),,,,,,,,,,
Population - Urban (%),43.1,43.6,44.1,44.6,45.2,45.7,46.2,46.8,47.3,47.9
