
Indicator,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Average annual population growth rate - Urban (%),3.4,3.4,3.4,3.4,3.4,3.1,3.1,3.1,,
Life expectancy at birth - Female (years),61.5,61.8,61.9,62.1,62.3,62.5,62.7,,,
Life expectancy at birth - Male (years),59.7,59.9,60.1,60.2,60.4,60.5,60.7,,,
Life expectancy at birth - Total (years),60.6,60.8,61.0,61.2,61.4,62.5,62.7,63.0,,
Population - Female (thousands),,,,,,,,,,
Population - Male (thousands),,,,,,,,,,
Population - Total (thousands),,,,,,,,,,
Population - Urban (%),50.7,51.4,52.1,52.7,53.4,54.1,54.7,55.4,56.1,56.7
